"";"BloodID";"BirdID";"TestResult";"TestMethod";"Researcher";"CatchID";"BloodSource";"OccasionDate";"Island";"occasionyear";"birthyear";"birthday";"age";"ParasiteSequence";"MalariaConsensus";"Mismatches";"Ntests";"check";"SexEstimate";"OccasionID";"TerritoryID";"FieldPeriodID";"avg_invert";"BreedGroupID";"Status";"Observer";"PeriodStart";"PeriodEnd";"PeriodYear";"newstat";"lifespan";"newlifespan"
"18";54;1765;1;"T";"DR";2976;"A";"2003-06-10";"CN";2003;2002;"2002-06-10";1;NA;1;0;1;TRUE;0;1126;47;30;3,65308711307692;477;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;3401
"19";55;921;1;"T";"DR";2949;"A";"2003-06-10";"CN";2003;1994;"1994-05-28";9;NA;1;0;1;TRUE;1;1126;47;30;3,65308711307692;477;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";3518;3049
"20";56;221;0;"T";"DR";2937;"A";"2003-06-10";"CN";2003;1988;"1988-06-25";15;NA;0;0;1;TRUE;1;1126;45;30;3,65308711307692;475;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";6378;6378
"21";57;1753;1;"T";"DR";2983;"A";"2003-06-11";"CN";2003;2002;"2002-01-22";1;NA;1;0;1;TRUE;0;1127;17;30;3,65308711307692;458;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";3540;3540
"22";58;1711;1;"T";"DR";2960;"A";"2003-06-12";"CN";2003;2001;"2001-12-22";2;NA;1;0;1;TRUE;1;1128;39;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";1450;1450
"23";59;1040;0;"T";"DR";2952;"A";"2003-06-13";"CN";2003;1995;"1995-07-16";8;NA;0;0;1;TRUE;1;1129;109;30;3,65308711307692;522;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4066;4066
"24";60;1743;1;"T";"DR";2966;"A";"2003-06-13";"CN";2003;2002;"2002-08-05";1;NA;1;0;1;TRUE;1;1129;39;30;3,65308711307692;2581;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";2402;2402
"25";61;1666;0;"T";"DR";2984;"A";"2003-06-13";"CN";2003;2001;"2001-07-20";2;NA;0;0;1;TRUE;1;1129;39;30;3,65308711307692;2581;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;439
"26";62;1766;1;"T";"DR";2977;"A";"2003-06-13";"CN";2003;2003;"2003-02-13";0;NA;1;0;1;TRUE;1;1129;39;30;3,65308711307692;2581;"SEEN2";NA;"2003-06-06";"2003-09-02";2003;"Sub";2210;2210
"27";63;1673;1;"T";"DLG";2999;"A";"2003-06-14";"CN";2003;2001;"2001-07-31";2;NA;1;-1;2;TRUE;0;1130;112;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";NA;428
"28";65;1660;1;"T";"DR";2996;"A";"2003-06-15";"CN";2003;2002;"2002-03-18";1;NA;1;0;1;TRUE;0;1132;42;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";5665;5299
"29";66;609;1;"T";"DR";2934;"A";"2003-06-15";"CN";2003;1993;"1993-07-11";10;NA;1;0;1;TRUE;1;1133;42;30;3,65308711307692;473;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4536;4536
"30";67;1543;1;"T";"DR";2931;"A";"2003-06-15";"CN";2003;1999;"1999-04-06";4;NA;1;0;1;TRUE;1;1132;42;30;3,65308711307692;473;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";3818;3818
"31";68;1553;0;"T";"DR";2932;"A";"2003-06-17";"CN";2003;1999;"1999-10-02";4;NA;0;0;1;TRUE;1;1134;50;30;3,65308711307692;480;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";3821;3821
"32";69;1504;0;"T";"DR";2910;"A";"2003-06-17";"CN";2003;1999;"1999-06-16";4;NA;0;0;1;TRUE;1;1134;54;30;3,65308711307692;484;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4104;4104
"33";70;1361;1;"T";"DR";2916;"A";"2003-06-18";"CN";2003;1998;"1998-08-20";5;NA;1;0;1;TRUE;0;1136;51;30;3,65308711307692;481;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";4229;4229
"34";71;1768;0;"T";"DR";2979;"A";"2003-06-18";"CN";2003;2003;"2003-03-20";0;NA;0;0;1;TRUE;1;1135;51;30;3,65308711307692;481;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";664;532
"35";72;51;0;"T";"DR";2936;"A";"2003-06-18";"CN";2003;1987;"1987-03-08";16;NA;0;0;1;TRUE;1;1135;51;30;3,65308711307692;481;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";6022;5687
"36";73;1769;1;"T";"DR";2980;"A";"2003-06-20";"CN";2003;2003;"2003-02-20";0;NA;1;0;1;TRUE;1;1138;127;30;3,65308711307692;532;"SEEN2";NA;"2003-06-06";"2003-09-02";2003;"Sub";2203;2203
"37";74;510;0;"T";"DR";2958;"A";"2003-06-20";"CN";2003;1993;"1993-07-11";10;NA;0;0;1;TRUE;1;1137;126;30;3,65308711307692;531;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";5180;5180
"38";75;1770;0;"T";"DR";2981;"A";"2003-06-20";"CN";2003;2003;"2003-03-22";0;NA;0;0;1;TRUE;1;1137;127;30;3,65308711307692;532;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";662;530
"39";76;1616;1;"T";"DR";3009;"A";"2003-06-20";"CN";2003;2000;"2000-11-20";3;NA;1;0;1;TRUE;1;1137;127;30;3,65308711307692;532;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4117;4117
"40";77;1572;1;"T";"DR";2947;"A";"2003-06-21";"CN";2003;2000;"2000-05-30";3;NA;1;0;1;TRUE;1;1139;55;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";1460;855
"41";78;1187;1;"T";"DR";2956;"A";"2003-06-22";"CN";2003;1996;"1996-11-15";7;NA;1;0;1;TRUE;1;1141;5;30;3,65308711307692;448;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";5047;5047
"42";79;1509;0;"T";"DR";2925;"A";"2003-06-22";"CN";2003;1999;"1999-03-27";4;NA;0;0;1;TRUE;1;1140;7;30;3,65308711307692;449;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4185;4185
"43";80;1740;0;"T";"DR";2965;"A";"2003-06-22";"CN";2003;2001;"2001-09-10";2;NA;0;0;1;TRUE;0;1141;20;30;3,65308711307692;459;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2731;2731
"44";81;1750;1;"T";"DR";2968;"A";"2003-06-22";"CN";2003;2002;"2002-07-29";1;NA;1;0;1;TRUE;1;1140;7;30;3,65308711307692;449;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";5532;4810
"45";82;1702;1;"T";"DR";2972;"A";"2003-06-23";"CN";2003;2002;"2002-08-03";1;NA;1;0;1;TRUE;1;1142;5;30;3,65308711307692;448;"AB";NA;"2003-06-06";"2003-09-02";2003;"Sub";2960;2960
"46";83;1771;0;"T";"DR";2982;"A";"2003-06-23";"CN";2003;2001;"2001-08-21";2;NA;0;0;1;TRUE;0;1142;5;30;3,65308711307692;448;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";742;407
"47";84;1772;1;"T";"DR";2985;"A";"2003-06-24";"CN";2003;2003;"2003-03-26";0;NA;1;0;1;TRUE;0;1144;20;30;3,65308711307692;459;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";1405;1405
"48";85;1729;0;"T";"DR";2963;"A";"2003-06-24";"CN";2003;2001;"2001-09-01";2;NA;0;0;1;TRUE;1;1143;20;30;3,65308711307692;459;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";5141;4933
"49";86;1419;0;"T";"DR";2933;"A";"2003-06-24";"CN";2003;1999;"1999-04-02";4;NA;0;0;1;TRUE;0;1143;22;30;3,65308711307692;460;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";3446;3446
"50";87;1673;0;"T";"DR";3000;"A";"2003-06-25";"CN";2003;2001;"2001-07-31";2;NA;0;0;1;TRUE;0;1146;25;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";NA;428
"51";88;1720;0;"T";"DR";2961;"A";"2003-06-25";"CN";2003;2001;"2001-12-28";2;NA;0;0;1;TRUE;1;1145;25;30;3,65308711307692;463;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";1709;1709
"52";89;1506;0;"T";"DR";2970;"A";"2003-06-25";"CN";2003;1999;"1999-08-05";4;NA;0;0;1;TRUE;0;1145;25;30;3,65308711307692;463;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2734;2734
"53";90;1773;1;"T";"DR";2880;"A";"2003-06-26";"CN";2003;2002;"2002-06-26";1;NA;1;0;1;TRUE;1;1148;27;30;3,65308711307692;465;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1264;1264
"54";91;1607;1;"T";"DR";2991;"A";"2003-06-26";"CN";2003;2001;"2001-06-24";2;NA;1;0;1;TRUE;1;1147;27;30;3,65308711307692;465;"SEEN1";"FG";"2003-06-06";"2003-09-02";2003;"Sub";5210;5002
"55";92;1774;1;"T";"DR";2835;"A";"2003-06-26";"CN";2003;2002;"2002-10-29";1;NA;1;0;1;TRUE;1;1147;28;30;3,65308711307692;466;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";2140;2140
"56";93;1776;1;"T";"DR";2836;"A";"2003-06-28";"CN";2003;2002;"2002-10-31";1;NA;1;0;1;TRUE;0;1149;112;30;3,65308711307692;525;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";1939;1939
"57";94;1731;1;"T";"DR";2964;"A";"2003-06-28";"CN";2003;2002;"2002-07-21";1;NA;1;0;1;TRUE;1;1150;80;30;3,65308711307692;505;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";4089;4089
"58";95;1775;0;"T";"DR";2834;"A";"2003-06-28";"CN";2003;2002;"2002-06-28";1;NA;0;0;1;TRUE;1;1149;14;30;3,65308711307692;455;"B";NA;"2003-06-06";"2003-09-02";2003;"Sub";1676;1676
"59";96;1510;0;"T";"DR";2926;"A";"2003-06-28";"CN";2003;1999;"1999-06-20";4;NA;0;0;1;TRUE;0;1150;112;30;3,65308711307692;525;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";3544;3544
"60";97;1752;0;"T";"DR";2969;"A";"2003-06-28";"CN";2003;2002;"2002-08-18";1;NA;0;0;1;TRUE;1;1149;14;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";2945;2945
"61";98;1396;1;"T";"DR";2919;"A";"2003-06-28";"CN";2003;1998;"1998-08-23";5;NA;1;0;1;TRUE;1;1150;112;30;3,65308711307692;525;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;1501
"62";99;1777;1;"T";"DR";2839;"A";"2003-06-28";"CN";2003;2003;"2003-03-30";0;NA;1;0;1;TRUE;1;1150;110;30;3,65308711307692;523;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";2165;2165
"63";100;1018;0;"T";"DR";2951;"A";"2003-06-28";"CN";2003;1995;"1995-11-03";8;NA;0;0;1;TRUE;1;1149;110;30;3,65308711307692;523;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4493;4335
"64";101;1710;1;"T";"DR";2995;"A";"2003-06-29";"CN";2003;2002;"2002-05-21";1;NA;1;0;1;TRUE;1;1152;171;30;3,65308711307692;549;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";5601;5041
"65";102;1355;0;"T";"DR";2915;"A";"2003-06-29";"CN";2003;1997;"1997-12-06";6;NA;0;0;1;TRUE;0;1151;79;30;3,65308711307692;504;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2096;1761
"66";103;1779;1;"T";"DR";2841;"A";"2003-07-01";"CN";2003;2002;"2002-07-01";1;NA;1;0;1;TRUE;0;1153;88;30;3,65308711307692;511;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2260;2260
"67";104;1780;1;"T";"DR";2842;"A";"2003-07-01";"CN";2003;2002;"2002-11-03";1;NA;1;0;1;TRUE;1;1154;86;30;3,65308711307692;2583;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1134;1134
"68";105;1778;1;"T";"DR";2840;"A";"2003-07-01";"CN";2003;2002;"2002-11-03";1;NA;1;0;1;TRUE;0;1153;88;30;3,65308711307692;511;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";1778;1778
"69";106;1609;1;"T";"DR";2992;"A";"2003-07-01";"CN";2003;2001;"2001-06-21";2;NA;1;0;1;TRUE;1;1154;94;30;3,65308711307692;513;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";803;468
"70";107;1781;0;"T";"DR";2843;"A";"2003-07-02";"CN";2003;2002;"2002-07-02";1;NA;0;0;1;TRUE;0;1155;174;30;3,65308711307692;551;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";1258;1258
"71";108;1782;0;"T";"DR";2871;"A";"2003-07-07";"CN";2003;2002;"2002-07-07";1;NA;0;0;1;TRUE;0;1157;70;30;3,65308711307692;497;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2987;2987
"72";110;1495;1;"T";"DR";2881;"A";"2003-07-07";"CN";2003;1999;"1999-08-05";4;NA;1;0;1;TRUE;1;1157;70;30;3,65308711307692;497;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;1154
"73";111;1756;1;"T";"DR";2971;"A";"2003-07-07";"CN";2003;2001;"2001-09-20";2;NA;1;0;1;TRUE;1;1157;123;30;3,65308711307692;529;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1452;377
"74";112;1188;0;"T";"DR";2957;"A";"2003-07-07";"CN";2003;1996;"1996-11-18";7;NA;0;0;1;TRUE;1;1156;71;30;3,65308711307692;498;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;2144
"75";113;1783;1;"T";"DR";2858;"A";"2003-07-07";"CN";2003;2003;"2003-04-08";0;NA;1;0;1;TRUE;1;1156;67;30;3,65308711307692;494;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";2537;2537
"76";114;1784;1;"T";"DR";2845;"A";"2003-07-07";"CN";2003;2002;"2002-11-09";1;NA;1;0;1;TRUE;1;1156;67;30;3,65308711307692;494;"SEEN1";NA;"2003-06-06";"2003-09-02";2003;"Sub";NA;567
"77";115;1540;0;"T";"DR";2930;"A";"2003-07-09";"CN";2003;1999;"1999-09-23";4;NA;0;0;1;TRUE;1;1159;57;30;3,65308711307692;487;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1440;1105
"78";116;1785;1;"T";"DR";2833;"A";"2003-07-09";"CN";2003;2002;"2002-11-11";1;NA;1;0;1;TRUE;1;1159;169;30;3,65308711307692;548;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";1035;1035
"79";117;453;0;"T";"DR";2940;"A";"2003-07-09";"CN";2003;1992;"1992-08-10";11;NA;0;0;1;TRUE;1;1159;69;30;3,65308711307692;496;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";6430;6430
"80";118;1698;0;"T";"DR";3006;"A";"2003-07-09";"CN";2003;2001;"2001-09-12";2;NA;0;0;1;TRUE;1;1158;57;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";3285;3285
"81";119;1570;0;"T";"DR";3008;"A";"2003-07-09";"CN";2003;1999;"1999-10-07";4;NA;0;0;1;TRUE;1;1158;169;30;3,65308711307692;548;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1924;1091
"82";120;1155;0;"T";"DR";2955;"A";"2003-07-09";"CN";2003;1996;"1996-07-08";7;NA;0;0;1;TRUE;0;1158;169;30;3,65308711307692;548;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";4245;4245
"83";121;1539;0;"T";"DR";2929;"A";"2003-07-09";"CN";2003;1999;"1999-09-22";4;NA;0;0;1;TRUE;1;1159;62;30;3,65308711307692;491;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";3273;3273
"84";122;1682;1;"T";"DR";3001;"A";"2003-07-10";"CN";2003;2001;"2001-12-10";2;NA;1;0;1;TRUE;1;1161;165;30;3,65308711307692;545;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";2463;2463
"85";123;1671;1;"T";"DR";2998;"A";"2003-07-10";"CN";2003;2002;"2002-04-27";1;NA;1;0;1;TRUE;1;1161;59;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";NA;158
"86";124;1786;1;"T";"DR";2847;"A";"2003-07-10";"CN";2003;2002;"2002-07-10";1;NA;1;0;1;TRUE;1;1160;59;30;3,65308711307692;2582;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";419;419
"87";125;1538;0;"T";"DR";2928;"A";"2003-07-10";"CN";2003;1999;"1999-07-24";4;NA;0;0;1;TRUE;0;1160;59;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";3134;3134
"88";126;1787;1;"T";"DR";2831;"A";"2003-07-11";"CN";2003;2002;"2002-11-13";1;NA;1;0;1;TRUE;1;1163;36;30;3,65308711307692;2580;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1926;1926
"89";127;1214;0;"T";"DR";2945;"A";"2003-07-11";"CN";2003;1997;"1997-04-05";6;NA;0;0;1;TRUE;1;1163;33;30;3,65308711307692;469;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";3437;3437
"90";128;503;0;"T";"DR";2943;"A";"2003-07-11";"CN";2003;1993;"1993-07-08";10;NA;0;0;1;TRUE;0;1162;33;30;3,65308711307692;469;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";5341;5341
"91";129;1788;0;"T";"DLG";2848;"A";"2003-07-12";"CN";2003;2002;"2002-11-14";1;NA;0;0;2;TRUE;1;1164;125;30;3,65308711307692;530;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1767;1767
"92";130;472;1;"T";"DR";2941;NA;"2003-07-15";"CN";2003;1992;"1992-12-15";11;NA;1;0;1;TRUE;0;1166;100;30;3,65308711307692;518;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";5745;5745
"93";131;1790;1;"T";"DLG";2849;"A";"2003-07-15";"CN";2003;2002;"2002-11-17";1;NA;1;0;2;TRUE;0;1165;116;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";2121;2121
"94";132;1394;0;"T";"DLG";2918;"A";"2003-07-15";"CN";2003;1998;"1998-08-08";5;NA;0;0;2;TRUE;1;1166;100;30;3,65308711307692;518;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4241;4241
"95";133;1494;1;"T";"DLG";2923;"A";"2003-07-15";"CN";2003;1999;"1999-07-27";4;NA;1;0;2;TRUE;1;1165;140;30;3,65308711307692;538;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";5908;5700
"96";134;1049;0;"T";"DLG";2953;"A";"2003-07-15";"CN";2003;1996;"1996-07-22";7;NA;0;0;2;TRUE;0;1165;116;30;3,65308711307692;527;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";2732;2263
"97";136;1728;1;"T";"DLG";2962;"A";"2003-07-17";"CN";2003;2002;"2002-01-03";1;NA;1;0;2;TRUE;1;1169;154;30;3,65308711307692;540;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1105;272
"98";137;544;1;"T";"DLG";2946;"A";"2003-07-17";"CN";2003;1993;"1993-07-21";10;NA;1;0;2;TRUE;1;1169;159;30;3,65308711307692;543;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";4193;3360
"99";138;1789;1;"T";"DLG";2844;"A";"2003-07-17";"CN";2003;2002;"2002-11-19";1;NA;1;0;2;TRUE;0;1168;154;30;3,65308711307692;540;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";1920;1920
"100";139;1791;1;"T";"DLG";2850;"A";"2003-07-17";"CN";2003;2002;"2002-07-17";1;NA;1;-1;2;TRUE;0;1168;155;30;3,65308711307692;541;"U";NA;"2003-06-06";"2003-09-02";2003;"Sub";NA;3364
"101";140;1610;1;"T";"DLG";2993;"A";"2003-07-17";"CN";2003;2000;"2000-11-10";3;NA;1;0;2;TRUE;1;1169;155;30;3,65308711307692;541;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";2271;2271
"102";141;501;0;"T";"DLG";2942;"A";"2003-07-20";"CN";2003;1994;"1994-04-09";9;NA;0;0;2;TRUE;1;1170;2;30;3,65308711307692;445;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";3931;3098
"103";142;1597;0;"T";"DLG";2989;"A";"2003-07-21";"CN";2003;2000;"2000-04-14";3;NA;0;0;2;TRUE;0;1172;138;30;3,65308711307692;536;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";1734;901
"104";143;1793;0;"T";"DLG";2852;"A";"2003-07-21";"CN";2003;2002;"2002-07-21";1;NA;0;0;2;TRUE;1;1171;144;30;3,65308711307692;539;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";678;678
"105";144;1275;1;"T";"DLG";2912;"A";"2003-07-21";"CN";2003;1997;"1997-11-15";6;NA;1;0;2;TRUE;0;1171;144;30;3,65308711307692;539;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2857;1782
"106";145;1794;0;"T";"DLG";2853;"A";"2003-07-22";"CN";2003;2002;"2002-07-22";1;NA;0;0;2;TRUE;1;1173;138;30;3,65308711307692;536;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";905;773
"107";146;927;0;"T";"MEM";2950;"A";"2003-07-26";"CN";2003;1994;"1994-06-08";9;NA;0;0;2;TRUE;0;1175;2;30;3,65308711307692;445;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";3507;3038
"108";147;1795;0;"T";"DLG";2854;"A";"2003-07-26";"CN";2003;2002;"2002-07-26";1;NA;0;0;2;TRUE;1;1174;22;30;3,65308711307692;460;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";2611;2611
"109";148;1796;1;"T";"DLG";2855;"A";"2003-07-28";"CN";2003;2002;"2002-07-28";1;NA;1;0;2;TRUE;1;1177;93;30;3,65308711307692;2585;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1876;1876
"110";149;1697;1;"T";"DLG";3005;"A";"2003-07-28";"CN";2003;2002;"2002-01-15";1;NA;1;0;2;TRUE;0;1177;93;30;3,65308711307692;2585;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";2070;2070
"111";150;1797;0;"T";"DLG";2856;"A";"2003-07-28";"CN";2003;2002;"2002-11-30";1;NA;0;0;2;TRUE;1;1176;92;30;3,65308711307692;512;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";1372;1372
"112";152;1195;1;"T";"DLG";2954;"A";"2003-07-29";"CN";2003;1996;"1996-11-25";7;NA;1;0;2;TRUE;0;1179;94;30;3,65308711307692;513;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";5037;5037
