"","BirdID","chickyear","ars","NestID","sex","birthyear","birthday","parent_age","lifespan","minrepro","maxrepro","minreproage","maxreproage","FieldPeriodID","Status","BreedGroupID","TerritoryID","Island","PeriodStart","PeriodEnd","PeriodYear","newstat","Year","TerritoryNumber","TQ","TQcorrected","flno","newlifespan"
"36",459,1994,1,NA,0,1992,"1992-08-11",2,5284,1994,2003,2,11,17,"AB",2006,55,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,5284
"37",459,1998,0,NA,0,1992,"1992-08-11",6,5284,1994,2003,2,11,23,"ABX",2323,55,"CN","1997-12-20","1998-03-28",1998,"Sub",1998,39,117674.2272,117674.2272,186,5284
"38",459,2006,0,NA,0,1992,"1992-08-11",14,5284,1994,2003,2,11,75,"BrF",3800,55,"CN","2006-06-12","2006-09-02",2006,"Dom",2006,39,3994.082587,3994.082587,108,5284
"39",459,2003,1,NA,0,1992,"1992-08-11",11,5284,1994,2003,2,11,30,"BrF",485,55,"CN","2003-06-06","2003-09-02",2003,"Dom",2003,39,20755.06242,20755.06242,208,5284
"40",459,1993,0,NA,0,1992,"1992-08-11",1,5284,1994,2003,2,11,16,"AB",1936,55,"CN","1993-08-07","1993-08-13",1993,"Sub",NA,NA,NA,NA,108,5284
"41",501,2003,1,682,1,1994,"1994-04-09",9,3931,1997,2005,3,11,30,"BrM",445,2,"CN","2003-06-06","2003-09-02",2003,"Dom",2003,1.1,15132.78391,15132.78391,208,3098
"42",501,1994,0,NA,1,1994,"1994-04-09",0,3931,1997,2005,3,11,17,"SEEN1",1989,21,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,3098
"43",501,1995,0,NA,1,1994,"1994-04-09",1,3931,1997,2005,3,11,19,"BrM",2079,2,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,3098
"44",501,1996,0,NA,1,1994,"1994-04-09",2,3931,1997,2005,3,11,21,"BrM",2198,2,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,1.1,27466.76594,27466.76594,123,3098
"45",501,2004,0,NA,1,1994,"1994-04-09",10,3931,1997,2005,3,11,32,"BrM",2707,2,"CN","2004-05-17","2004-05-29",2004,"Dom",NA,NA,NA,NA,126,3098
"46",501,2001,0,NA,1,1994,"1994-04-09",7,3931,1997,2005,3,11,40,"BrM",3135,2,"CN","2001-06-29","2001-07-26",2001,"Dom",NA,NA,NA,NA,97,3098
"47",501,1997,1,133,1,1994,"1994-04-09",3,3931,1997,2005,3,11,22,"BrM",16,2,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,1.1,45689.47813,45689.47813,254,3098
"48",501,2005,1,NA,1,1994,"1994-04-09",11,3931,1997,2005,3,11,35,"BrM",2874,2,"CN","2004-12-18","2005-01-12",2005,"Dom",2005,1.1,NA,NA,208,3098
"49",501,1999,1,361,1,1994,"1994-04-09",5,3931,1997,2005,3,11,26,"BrM",2402,2,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,1.1,14903.33318,14903.33318,298,3098
"50",501,2000,1,NA,1,1994,"1994-04-09",6,3931,1997,2005,3,11,39,"BrM",3026,2,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,3098
"51",501,2002,1,NA,1,1994,"1994-04-09",8,3931,1997,2005,3,11,41,"BrM",777,2,"CN","2002-07-11","2002-10-02",2002,"Dom",NA,NA,NA,NA,181,3098
"52",501,1998,1,135,1,1994,"1994-04-09",4,3931,1997,2005,3,11,23,"BrM",119,2,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,1.1,47686.01172,47686.01172,186,3098
"53",502,1998,1,NA,0,1993,"1993-07-08",5,2593,1995,1999,2,6,23,"BrF",131,25,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,19,109842.2428,109842.2428,186,2271
"54",502,1995,2,NA,0,1993,"1993-07-08",2,2593,1995,1999,2,6,19,"BrF",2092,25,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,2271
"55",502,1994,0,NA,0,1993,"1993-07-08",1,2593,1995,1999,2,6,17,"BrF",1990,25,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,2271
"56",502,1999,1,401,0,1993,"1993-07-08",6,2593,1995,1999,2,6,26,"BrF",283,25,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,19,16928.28372,16928.28372,298,2271
"57",502,1996,1,NA,0,1993,"1993-07-08",3,2593,1995,1999,2,6,21,"BrF",2212,25,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,19,50341.73202,50341.73202,123,2271
"58",502,1997,0,NA,0,1993,"1993-07-08",4,2593,1995,1999,2,6,22,"BrF",28,25,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,19,97744.60564,97744.60564,254,2271
"59",505,1997,0,NA,0,1993,"1993-07-08",4,1724,1995,1995,2,2,22,"SEEN1",73,95,"CN","1997-07-01","1997-08-28",1997,"Sub",1997,64,46905.64233,46905.64233,254,1724
"60",505,1994,0,NA,0,1993,"1993-07-08",1,1724,1995,1995,2,2,17,"BrF",2027,108,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,1724
"61",505,1998,0,NA,0,1993,"1993-07-08",5,1724,1995,1995,2,2,23,"BrF",161,95,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,64,60273.87927,60273.87927,186,1724
"62",505,1996,0,NA,0,1993,"1993-07-08",3,1724,1995,1995,2,2,21,"BrF",2263,108,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,75,247825.3229,247825.3229,123,1724
"63",505,1995,1,NA,0,1993,"1993-07-08",2,1724,1995,1995,2,2,19,"BrF",2138,108,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,1724
"64",506,1999,2,385,1,1993,"1993-07-08",6,NA,1999,2003,6,10,26,"BrM",2472,173,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,116,15825.19685,15825.19685,298,3373
"65",506,1999,2,379,1,1993,"1993-07-08",6,NA,1999,2003,6,10,26,"BrM",2472,173,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,116,15825.19685,15825.19685,298,3373
"66",506,1994,0,NA,1,1993,"1993-07-08",1,NA,1999,2003,6,10,17,"AB",2027,108,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,3373
"67",506,1995,0,NA,1,1993,"1993-07-08",2,NA,1999,2003,6,10,19,"BrM",2177,173,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,3373
"68",506,1996,0,NA,1,1993,"1993-07-08",3,NA,1999,2003,6,10,21,"BrM",2300,173,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,116,135594.8136,135594.8136,123,3373
"69",506,1997,0,NA,1,1993,"1993-07-08",4,NA,1999,2003,6,10,22,"BrM",2309,173,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,116,48730.49646,48730.49646,254,3373
"70",506,1998,0,NA,1,1993,"1993-07-08",5,NA,1999,2003,6,10,23,"BrM",2353,173,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,116,77644.22091,77644.22091,186,3373
"71",506,2003,2,706,1,1993,"1993-07-08",10,NA,1999,2003,6,10,30,"BrM",550,173,"CN","2003-06-06","2003-09-02",2003,"Dom",2003,116,11537.43571,11537.43571,208,3373
"72",506,2002,0,NA,1,1993,"1993-07-08",9,NA,1999,2003,6,10,41,"BrM",854,173,"CN","2002-07-11","2002-10-02",2002,"Dom",NA,NA,NA,NA,181,3373
"73",506,2001,0,NA,1,1993,"1993-07-08",8,NA,1999,2003,6,10,40,"BrM",3248,173,"CN","2001-06-29","2001-07-26",2001,"Dom",NA,NA,NA,NA,97,3373
"74",506,2000,0,NA,1,1993,"1993-07-08",7,NA,1999,2003,6,10,39,"BrM",3132,173,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,3373
"75",506,2004,0,NA,1,1993,"1993-07-08",11,NA,1999,2003,6,10,32,"BrM",2822,173,"CN","2004-05-17","2004-05-29",2004,"Dom",NA,NA,NA,NA,126,3373
"76",510,2001,0,NA,1,1993,"1993-07-11",8,5180,1994,2005,1,12,40,"BrM",3226,126,"CN","2001-06-29","2001-07-26",2001,"Dom",NA,NA,NA,NA,97,5180
"77",510,2005,1,NA,1,1993,"1993-07-11",12,5180,1994,2005,1,12,35,"BrM",2910,56,"CN","2004-12-18","2005-01-12",2005,"Dom",2005,40,NA,NA,208,5180
"78",510,2000,0,NA,1,1993,"1993-07-11",7,5180,1994,2005,1,12,39,"BrM",3111,126,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,5180
"79",510,2002,0,NA,1,1993,"1993-07-11",9,5180,1994,2005,1,12,41,"BrM",840,126,"CN","2002-07-11","2002-10-02",2002,"Dom",NA,NA,NA,NA,181,5180
"80",510,1999,0,NA,1,1993,"1993-07-11",6,5180,1994,2005,1,12,26,"BrM",2457,126,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,86,21818.77746,21818.77746,298,5180
"81",510,1994,2,NA,1,1993,"1993-07-11",1,5180,1994,2005,1,12,17,"BrM",2009,59,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,5180
"82",510,1997,1,235,1,1993,"1993-07-11",4,5180,1994,2005,1,12,22,"BrM",50,59,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,42,207956.2214,207956.2214,254,5180
"83",510,2006,0,NA,1,1993,"1993-07-11",13,5180,1994,2005,1,12,75,"BrM",3850,126,"CN","2006-06-12","2006-09-02",2006,"Dom",2006,86,8120.809767,8120.809767,108,5180
"84",510,2004,1,NA,1,1993,"1993-07-11",11,5180,1994,2005,1,12,32,"BrM",2800,126,"CN","2004-05-17","2004-05-29",2004,"Dom",NA,NA,NA,NA,126,5180
"85",510,1995,1,NA,1,1993,"1993-07-11",2,5180,1994,2005,1,12,19,"BrM",2112,59,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,5180
"86",510,2007,0,NA,1,1993,"1993-07-11",14,5180,1994,2005,1,12,77,"BrM",3967,126,"CN","2007-01-06","2007-01-29",2007,"Dom",NA,NA,NA,NA,74,5180
"87",510,2003,1,NA,1,1993,"1993-07-11",10,5180,1994,2005,1,12,30,"BrM",531,126,"CN","2003-06-06","2003-09-02",2003,"Dom",2003,86,13759.1804,13759.1804,208,5180
"88",510,1998,0,NA,1,1993,"1993-07-11",5,5180,1994,2005,1,12,23,"BrM",143,59,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,42,139418.4846,139418.4846,186,5180
"89",510,1996,2,NA,1,1993,"1993-07-11",3,5180,1994,2005,1,12,21,"BrM",2234,59,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,42,381771.7938,381771.7938,123,5180
"90",528,1998,0,NA,0,1993,"1993-07-16",5,1716,1994,1997,1,4,23,"H",164,103,"CN","1997-12-20","1998-03-28",1998,"Sub",1998,71,13134.04794,13134.04794,186,1716
"91",528,1997,2,311,0,1993,"1993-07-16",4,1716,1994,1997,1,4,22,"ABX",77,103,"CN","1997-07-01","1997-08-28",1997,"Sub",1997,71,21837.55852,21837.55852,254,1716
"92",528,1994,1,NA,0,1993,"1993-07-16",1,1716,1994,1997,1,4,17,"AB",2023,103,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,1716
"93",528,1996,1,NA,0,1993,"1993-07-16",3,1716,1994,1997,1,4,21,"H",13,103,"CN","1996-06-24","1996-08-11",1996,"Sub",1996,71,23163.17749,23163.17749,123,1716
"94",528,1997,2,315,0,1993,"1993-07-16",4,1716,1994,1997,1,4,22,"ABX",77,103,"CN","1997-07-01","1997-08-28",1997,"Sub",1997,71,21837.55852,21837.55852,254,1716
"95",528,1995,0,NA,0,1993,"1993-07-16",2,1716,1994,1997,1,4,19,"H",2133,103,"CN","1995-05-22","1995-09-14",1995,"Sub",NA,NA,NA,NA,83,1716
"96",549,1995,1,NA,1,1993,"1993-07-24",2,1891,1995,1996,2,3,19,"BrM",2152,130,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,1891
"97",549,1996,3,NA,1,1993,"1993-07-24",3,1891,1995,1996,2,3,21,"BrM",2276,130,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,88.1,107136.0869,107136.0869,123,1891
"98",549,1997,0,NA,1,1993,"1993-07-24",4,1891,1995,1996,2,3,22,"BrM",95,130,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,88.1,85048.47486,85048.47486,254,1891
"99",549,1998,0,NA,1,1993,"1993-07-24",5,1891,1995,1996,2,3,23,"BrM",2344,130,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,88.1,64723.26948,64723.26948,186,1891
"100",549,1994,0,NA,1,1993,"1993-07-24",1,1891,1995,1996,2,3,17,"ABX",2037,129,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,1891
"101",550,1994,0,NA,1,1993,"1993-07-24",1,1708,1996,1996,3,3,17,"BrM",2037,129,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,1708
"102",550,1996,1,NA,1,1993,"1993-07-24",3,1708,1996,1996,3,3,21,"BrM",2282,141,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,95,94645.31274,94645.31274,123,1708
"103",550,1995,0,NA,1,1993,"1993-07-24",2,1708,1996,1996,3,3,19,"BrM",2151,129,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,1708
"104",550,1997,0,NA,1,1993,"1993-07-24",4,1708,1996,1996,3,3,22,"BrM",102,141,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,95,60791.90629,60791.90629,254,1708
"105",550,1998,0,NA,1,1993,"1993-07-24",5,1708,1996,1996,3,3,23,"BrM",177,141,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,95,40787.62769,40787.62769,186,1708
"106",558,1995,0,NA,0,1993,"1993-07-24",2,1496,1996,1996,3,3,19,"ABX",2111,57,"CN","1995-05-22","1995-09-14",1995,"Sub",NA,NA,NA,NA,83,1496
"107",558,1994,0,NA,0,1993,"1993-07-24",1,1496,1996,1996,3,3,17,"BrF",2008,57,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,1496
"108",558,1996,1,NA,0,1993,"1993-07-24",3,1496,1996,1996,3,3,21,"NSA",2233,57,"CN","1996-06-24","1996-08-11",1996,"Sub",1996,41,59280.31859,59280.31859,123,1496
"109",558,1997,0,NA,0,1993,"1993-07-24",4,1496,1996,1996,3,3,22,"FLOAT",3388,NA,"CN","1997-07-01","1997-08-28",1997,"Sub",NA,NA,NA,NA,254,1496
"110",562,1999,0,NA,1,1993,"1993-07-27",6,2012,1995,1998,2,5,26,"BrM",2409,13,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,8,17869.05823,17869.05823,298,2012
"111",562,1998,1,NA,1,1993,"1993-07-27",5,2012,1995,1998,2,5,23,"BrM",124,13,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,8,112246.7912,112246.7912,186,2012
"112",562,1997,0,NA,1,1993,"1993-07-27",4,2012,1995,1998,2,5,22,"BrM",21,13,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,8,81514.273,81514.273,254,2012
"113",562,1996,1,NA,1,1993,"1993-07-27",3,2012,1995,1998,2,5,21,"BrM",2204,13,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,8,46445.86728,46445.86728,123,2012
"114",562,1994,0,NA,1,1993,"1993-07-27",1,2012,1995,1998,2,5,17,"BrM",1987,13,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,2012
"115",562,1995,1,NA,1,1993,"1993-07-27",2,2012,1995,1998,2,5,19,"BrM",2085,13,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,2012
"116",563,2004,0,NA,0,1994,"1994-07-19",10,4807,1996,2006,2,12,32,"BrF",2815,160,"CN","2004-05-17","2004-05-29",2004,"Dom",NA,NA,NA,NA,126,4807
"117",563,1997,0,NA,0,1994,"1994-07-19",3,4807,1996,2006,2,12,22,"BrF",108,160,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,104,35452.67743,35452.67743,254,4807
"118",563,2003,0,NA,0,1994,"1994-07-19",9,4807,1996,2006,2,12,30,"BrF",544,160,"CN","2003-06-06","2003-09-02",2003,"Dom",2003,104,26275.91349,26275.91349,208,4807
"119",563,2001,0,NA,0,1994,"1994-07-19",7,4807,1996,2006,2,12,40,"BrF",3242,160,"CN","2001-06-29","2001-07-26",2001,"Dom",NA,NA,NA,NA,97,4807
"120",563,1998,0,NA,0,1994,"1994-07-19",4,4807,1996,2006,2,12,23,"BrF",181,160,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,104,32071.3,32071.3,186,4807
"121",563,1995,0,NA,0,1994,"1994-07-19",1,4807,1996,2006,2,12,19,"SEEN1",2170,166,"CN","1995-05-22","1995-09-14",1995,"Sub",NA,NA,NA,NA,83,4807
"122",563,1996,1,NA,0,1994,"1994-07-19",2,4807,1996,2006,2,12,21,"NSA",2294,166,"CN","1996-06-24","1996-08-11",1996,"Sub",1996,109,166683.0036,166683.0036,123,4807
"123",563,1999,0,NA,0,1994,"1994-07-19",5,4807,1996,2006,2,12,26,"BrF",2466,160,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,104,15274.55575,15274.55575,298,4807
"124",563,2007,0,NA,0,1994,"1994-07-19",13,4807,1996,2006,2,12,77,"BrF",3982,160,"CN","2007-01-06","2007-01-29",2007,"Dom",NA,NA,NA,NA,74,4807
"125",563,2005,0,NA,0,1994,"1994-07-19",11,4807,1996,2006,2,12,35,"BrF",2973,160,"CN","2004-12-18","2005-01-12",2005,"Dom",2005,104,NA,NA,208,4807
"126",563,2002,0,NA,0,1994,"1994-07-19",8,4807,1996,2006,2,12,41,"BrF",851,160,"CN","2002-07-11","2002-10-02",2002,"Dom",NA,NA,NA,NA,181,4807
"127",563,2006,1,NA,0,1994,"1994-07-19",12,4807,1996,2006,2,12,75,"BrF",3865,160,"CN","2006-06-12","2006-09-02",2006,"Dom",2006,104,11638.32965,11638.32965,108,4807
"128",563,2000,0,NA,0,1994,"1994-07-19",6,4807,1996,2006,2,12,39,"BrF",3126,160,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,4807
"129",594,1995,0,NA,0,1993,"1993-07-08",2,798,1994,1994,1,1,19,"BrF",2091,24,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,798
"130",594,1994,2,NA,0,1993,"1993-07-08",1,798,1994,1994,1,1,17,"BrF",3311,24,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,798
"131",596,1997,1,NA,0,1993,"1993-07-08",4,2593,1995,1999,2,6,22,"BrF",19,8,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,5,66816.69343,66816.69343,254,2271
"132",596,1996,1,NA,0,1993,"1993-07-08",3,2593,1995,1999,2,6,21,"BrF",2201,8,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,5,41623.78668,41623.78668,123,2271
"133",596,1999,2,NA,0,1993,"1993-07-08",6,2593,1995,1999,2,6,26,"BrF",280,8,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,5,21395.27437,21395.27437,298,2271
"134",596,1998,1,254,0,1993,"1993-07-08",5,2593,1995,1999,2,6,23,"BrF",122,8,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,5,127517.9486,127517.9486,186,2271
"135",596,1995,1,NA,0,1993,"1993-07-08",2,2593,1995,1999,2,6,19,"BrF",2082,8,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,2271
"136",596,1994,0,NA,0,1993,"1993-07-08",1,2593,1995,1999,2,6,17,"BrF",1984,8,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,2271
"137",596,1999,2,473,0,1993,"1993-07-08",6,2593,1995,1999,2,6,26,"BrF",280,8,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,5,21395.27437,21395.27437,298,2271
"138",608,1996,1,NA,0,1993,"1993-07-11",3,1721,1996,1997,3,4,21,"H",2234,59,"CN","1996-06-24","1996-08-11",1996,"Sub",1996,42,381771.7938,381771.7938,123,1721
"139",608,1998,0,NA,0,1993,"1993-07-11",5,1721,1996,1997,3,4,23,"ABX",143,59,"CN","1997-12-20","1998-03-28",1998,"Sub",1998,42,139418.4846,139418.4846,186,1721
